OGA_ID	sample_ID	station	depth	size fraction	latitude	longitude	OGA_ID	Station	ENA_ID	INSDC_ID	BioSamples_ID	Sample_method	Depth_Nominal	Environmental_feature	Fraction_Lower (µm)	Fraction_Upper (µm)	Biome	Region	Province	Barcode	Date_Time	Seafloor (m)	Temperature (°C)	Salinity (PSU)	Density (kg/m**3)	Distance_coast (km)	Chlorophyll_A (mg/m**3)	Depth (m)	PAR (mol quanta/m**2/day)	O2 (µmol/kg)	NO3 (µmol/l)	Iron_5m* (µmol/l)	Ammonium_5m* (µmol/l)	Nitrite_5m* (µmol/l)	Nitrate_5m* (µmol/l)	CDOM* (ppb (QSE))	NPP_C* (mg/m**2/day)	POC* (µg/kg)	PIC* (mol/m3)	Alkalinity (µmol/kg)	Carbon Total (µmol/kg)	CO2 (µmol/kg)	CO3 (µmol/kg)	HCO3 (µmol/kg)	pH (-)	NO2 (µmol/l)	PO4 (µmol/l)	NO3_NO2 (µmol/l)	Si (µmol/l)	MLD (m)	DCM (m)	Depth_max_Brunt_Väisälä_freq (m)	Depth_max_O2 (m)	Depth_min_O2 (m)	Depth_nitracline (m)	Shannon_Darwin* (-)	Shannon_Physat* (-)	miTAG_SILVA_Chao (-)	miTAG_SILVA_Shannon (-)	OG_Richness (-)	OG_Evenness (-)	Chlorophyll c3 (mg/m**3)	Peridinin (mg/m**3)	Fucoxanthin (mg/m**3)	Prasinoxanthin (mg/m**3)	19-Hexanoyloxyfucoxanthin (mg/m**3)	Alloxanthin (mg/m**3)	Zeaxanthin (mg/m**3)	Lutein (mg/m**3)	Latitude (-)	Longitude (-)	Sea_ice* (%)	Season	Season_subperiod	Okubo-Weiss* (-)	Lyapunov* (l/day)	Residence_time* (days)
11	TARA_B100000316	TARA_037	MES	[0.22-3µm]	20.8457	63.5851	TARA_037_MES_0.22-1.6	TARA_037	ERS488770		SAMEA2619971	SEQ-(10L-or-15min)_W0.22-1.6	MES	[MES] marine water layer (ENVO:01000295) within the mesopelagic zone (ENVO:00000213)	0.22	1.6	Coastal Biome	[IO] Indian Ocean (MRGID:1904)	[ARAB] Northwest Arabian Sea Upwelling Province (MRGID:21475)	TARA_B100000316	2010-03-12T17:08	-3391	11.984006	35.672725	27.130513	422.5596	0.00135	600	0	2.81625	31.290804	0.001387737	0.028889008	0.005607758	0.000920977	2.88692	1261.87	233.29707336426	0.00044534083281178	0	0		0	0							49	30	13	587	95							0	0	0	0	0	0	0.0004	0.0002	20.8457	63.5851	0	winter	late	-0.087532	0.06187	0
12	TARA_B100000071	TARA_038	MES	[0.22-3µm]	19.0351	64.5638	TARA_038_MES_0.22-1.6	TARA_038	ERS488849	ERR599167|ERR599109	SAMEA2620035	SEQ-(10L-or-15min)_W0.22-1.6	MES	[MES] marine water layer (ENVO:01000295) within the mesopelagic zone (ENVO:00000213)	0.22	1.6	Trades Biome	[IO] Indian Ocean (MRGID:1904)	[MONS] Indian Monsoon Gyres Province (MRGID:21471)	TARA_B100000071	2010-03-16T06:13	-3350	14.901445	36.014205	26.787485	579.3061	0.00036	340	0	2.9502	22.18992	0.001387726	0.030032598	0.004277769	0.001138785	4.33027	847.091	96.306526184082	0.00021776983339805	0	0		0	0.0061		0.691	2.639	23.43	38.94	18	27	114	14	475	109	0.542872	0.579343					0	0	0	0	0	0	0.0012	0.0006	19.0351	64.5638	0	winter	late	0.005785	0.069484	0
13	TARA_B100000091	TARA_039	DCM	[0.22-3µm]	18.5839	66.4727	TARA_039_DCM_0.22-1.6	TARA_039	ERS488920	ERR1328124|ERR1328123	SAMEA2620085	SEQ-(10L-or-15min)_W0.22-1.6	DCM	[DCM] deep chlorophyll maximum layer (ENVO:01000326)	0.22	1.6	Trades Biome	[IO] Indian Ocean (MRGID:1904)	[MONS] Indian Monsoon Gyres Province (MRGID:21471)	TARA_B100000091	2010-03-18T11:33	-3265	26.692435	36.40162	23.87718	468.2075	0.12402	25	4.100441	187.47615	0	0.00138772	0.0255102	0.004728645	0.003323513	2.1758	533.091	81.80855178833	0.00022889704268891	0.00115	0.00545		0.00925	0		0.011	0.2465	0.0675	1.2415	26	41	3	13	480	124	0.386281	0.51759					0.01255	0.00495	0.00545	0.00095	0.03505	0	0.0962	0	18.5839	66.4727	0	winter	late	0.403157		2.25
14	TARA_B100000101	TARA_039	MES	[0.22-3µm]	18.7341	66.3896	TARA_039_MES_0.22-1.6	TARA_039	ERS488941		SAMEA2620102	SEQ-(10L-or-15min)_W0.22-1.6	MES	[MES] marine water layer (ENVO:01000295) within the mesopelagic zone (ENVO:00000213)	0.22	1.6	Trades Biome	[IO] Indian Ocean (MRGID:1904)	[MONS] Indian Monsoon Gyres Province (MRGID:21471)	TARA_B100000101	2010-03-20T08:15	-3147	15.553795	35.907681	26.565675	462.0824	0.00144	270	0	3.12405	18.560166	0.00138772	0.0255102	0.004728645	0.003323513	1.99059	487.271	80.985832214355	0.0002070110058412	0	0		0	0.0058		2.074	2.64	21.22	38.62	14	34	3	16	486	125	0.386281	0.51759					0	0	0	0	0	0	0.0013	0	18.7341	66.3896	0	spring	early	0.403157		2.25
15	TARA_B100000090	TARA_039	SRF	[0.22-3µm]	18.5918	66.622	TARA_039_SRF_0.22-1.6	TARA_039	ERS488876		SAMEA2620062	SEQ-(10L-or-15min)_W0.22-1.6	SRF	[SRF] surface water layer (ENVO:00010504)	0.22	1.6	Trades Biome	[IO] Indian Ocean (MRGID:1904)	[MONS] Indian Monsoon Gyres Province (MRGID:21471)	TARA_B100000090	2010-03-18T04:27	-3272	27.089113	36.310588	23.677262	464.6231	0.0258	5	26.627413	193.065313	0	0.00138772	0.0255102	0.004728645	0.003323513	2.09529	533.091	84.674640655518	0.00023667031200603	0	0.0035		0.0034	0		0.0065	0.2335	0.0425	1.515	28	24	34	14	689	109	0.386281	0.51759					0.0054	0.0025	0.0035	0	0.0158	0	0.07315	0	18.5918	66.622	0	winter	late	0.403157		2.25
16	TARA_B100000120	TARA_040	MES	[0.22-3µm]	17.4855	68.0247	TARA_040_MES_0.22-1.6	TARA_040	ERS489021		SAMEA2620180	SEQ-(10L-or-15min)_W0.22-1.6	MES	[MES] marine water layer (ENVO:01000295) within the mesopelagic zone (ENVO:00000213)	0.22	1.6	Trades Biome	[IO] Indian Ocean (MRGID:1904)	[MONS] Indian Monsoon Gyres Province (MRGID:21471)	TARA_B100000120	2010-03-22T15:48	-3512	15.070405	35.90477	26.665425	451.1715	0.00216	285	0	2.94605	19.610971	0.001387719	0.0214855	0.003789226	0.004908818			100.91009140015	0.00010458614997333	0	0		0	0.0114		1.334	2.666	23	40.6	30	36	71	15	486	73							0	0	0	0	0	0	0.0016	0	17.4855	68.0247	0	spring	early	0.043242	0.086921	0
17	TARA_B100000110	TARA_040	SRF	[0.22-3µm]	17.5294	67.9576	TARA_040_SRF_0.22-1.6	TARA_040	ERS488964		SAMEA2620125	SEQ-(10L-or-15min)_W0.22-1.6	SRF	[SRF] surface water layer (ENVO:00010504)	0.22	1.6	Trades Biome	[IO] Indian Ocean (MRGID:1904)	[MONS] Indian Monsoon Gyres Province (MRGID:21471)	TARA_B100000110	2010-03-22T03:04	-3504	27.584135	36.22668	23.453275	450.8285	0.02076	5	28.977553	192.986	0	0.001387719	0.0214855	0.003789226	0.004908818			95.142498016357	0.00011536652527866	0	0.0011		0.0015	0		0.007	0.27	0.026	1.792	27	44	23	33	643								0.0019	0.0018	0.0011	0	0.0066	0	0.0787	0.0051	17.5294	67.9576	0	spring	early	0.043242	0.086921	0
18	TARA_B100000112	TARA_040	ZZZ	[0.22-3µm]	17.4825	67.9869	TARA_040_ZZZ_0.22-1.6	TARA_040	ERS488977		SAMEA2620136	SEQ-(10L-or-15min)_W0.22-1.6	ZZZ	[ZZZ] marine water layer (ENVO:01000295)	0.22	1.6	Trades Biome	[IO] Indian Ocean (MRGID:1904)	[MONS] Indian Monsoon Gyres Province (MRGID:21471)	TARA_B100000112	2010-03-22T07:07	-3512	27.52689	36.49243	23.67319	453.5744	0.02328	25	4.745867	193.29565	0	0.001387719	0.0214855	0.003789226	0.004908818			99.246273040771	0.00010692704017856	0	0.0011		0.0018	0			0.235	0.035	1.19	39	57	82	46	482	76							0.0033	0.0022	0.0011	0	0.0103	0	0.083	0	17.4825	67.9869	0	spring	early	0.043242	0.086921	0
19	TARA_B100000287	TARA_041	DCM	[0.22-3µm]	14.5536	70.0128	TARA_041_DCM_0.22-1.6	TARA_041	ERS489074	ERR599053|ERR598977	SAMEA2620217	SEQ-(10L-or-15min)_W0.22-1.6	DCM	[DCM] deep chlorophyll maximum layer (ENVO:01000326)	0.22	1.6	Trades Biome	[IO] Indian Ocean (MRGID:1904)	[MONS] Indian Monsoon Gyres Province (MRGID:21471)	TARA_B100000287	2010-03-30T10:56	-3625	27.374181	36.503531	23.734719	245.2806	0.098025	60	0.606707	164.440063	0	0.001387699	0.020277846	0.004047238	0.004698874		312.006	43.739206314087	9.0719344370882E-5	0.002	0.01485		0.0249	0.00665		0.2375	0.846	7.847	3.5765	25	57	29	33	404	67	0.21705	0.560517					0.0372	0.00715	0.01485	0.0043	0.0695	0	0.0423	0	14.5536	70.0128	0	spring	early	-0.412443	0.026178	19.027778
20	TARA_B100000282	TARA_041	SRF	[0.22-3µm]	14.6059	69.9776	TARA_041_SRF_0.22-1.6	TARA_041	ERS489043	ERR599074|ERR599011	SAMEA2620194	SEQ-(10L-or-15min)_W0.22-1.6	SRF	[SRF] surface water layer (ENVO:00010504)	0.22	1.6	Trades Biome	[IO] Indian Ocean (MRGID:1904)	[MONS] Indian Monsoon Gyres Province (MRGID:21471)	TARA_B100000282	2010-03-30T02:47	-3640	29.151544	36.0499	22.799819	249.7827	0	5	34.540752	187.306625	0	0.001387699	0.020277846	0.004047238	0.004698874		312.006	47.640607833862	0.0001573284935148	0	0.001		0.00075	0		0.007	0.1565	0.057	1.3865	25	66	79	24	450	74	0.21705	0.560517					0.0015	0	0.001	0	0.0056	0	0.07355	0	14.6059	69.9776	0	spring	early	-0.412443	0.026178	19.027778
21	TARA_B100000133	TARA_042	DCM	[0.22-3µm]	5.9998	73.9067	TARA_042_DCM_0.22-1.6	TARA_042	ERS489136		SAMEA2620261	SEQ-(10L-or-15min)_W0.22-1.6	DCM	[DCM] deep chlorophyll maximum layer (ENVO:01000326)	0.22	1.6	Trades Biome	[IO] Indian Ocean (MRGID:1904)	[MONS] Indian Monsoon Gyres Province (MRGID:21471)	TARA_B100000133	2010-04-04T09:50	-1836	27.9561	35.044342	22.474092	52.5093	0.1503	80		137.998083	0	0.001387698	0.015891551	0.010871042	0.004952658		210.7695	28.924436569214		0.00295	0.0036		0.01365	0.0024		0.152	0.2505	0.741	2.7335	32	70	105	36	176	84	0.320439	0.690085					0.0147	0.0031	0.0036	0.0024	0.03135	0	0.06055	0	5.9998	73.9067	0	spring	early	0.15868		8
22	TARA_B100000127	TARA_042	SRF	[0.22-3µm]	6.0001	73.8955	TARA_042_SRF_0.22-1.6	TARA_042	ERS489092		SAMEA2620235	SEQ-(10L-or-15min)_W0.22-1.6	SRF	[SRF] surface water layer (ENVO:00010504)	0.22	1.6	Trades Biome	[IO] Indian Ocean (MRGID:1904)	[MONS] Indian Monsoon Gyres Province (MRGID:21471)	TARA_B100000127	2010-04-04T02:47	-1828	30.12785	34.56775	21.358942	52.8424	0	5		188.79575	0	0.001387698	0.015891551	0.010871042	0.004952658		210.7695			0	0.00085		0.00085	0		0.001	0.0765	0.022	2.171	41	75	102	44	184	85	0.320439	0.690085					0.0008	0	0.00085	0	0.00335	0	0.06295	0	6.0001	73.8955	0	spring	early	0.15868		8
23	TARA_B100000143	TARA_043	SRF	[0.22-3µm]	4.6599	73.4856	TARA_043_SRF_0.22-1.6	TARA_043	ERS489164		SAMEA2620281	SEQ-(10L-or-15min)_W0.22-1.6	SRF	[SRF] surface water layer (ENVO:00010504)	0.22	1.6	Trades Biome	[IO] Indian Ocean (MRGID:1904)	[MONS] Indian Monsoon Gyres Province (MRGID:21471)	TARA_B100000143	2010-04-05T10:02	-13	29.938975	34.493275	21.37115	1.773	0.0732	5		190.26525	0	0.001387683	0.015170097	0.010451436	0.005284466			118.56726837158	0.0010329710203223	0.00055	0.01135		0.00585	0		0.004	0.0705	0.0265	1.8285	39	43	43	13	49	45							0.01505	0.00515	0.01135	0.0027	0.0372	0	0.07635	0	4.6599	73.4856	0	spring	early	0.146439	0.118141	2
24	TARA_B100000267	TARA_044	SRF	[0.22-3µm]	2.815	71.534	TARA_044_SRF_0.22-1.6	TARA_044	ERS489197		SAMEA2620306	SEQ-(10L-or-15min)_W0.22-1.6	SRF	[SRF] surface water layer (ENVO:00010504)	0.22	1.6	Trades Biome	[IO] Indian Ocean (MRGID:1904)	[MONS] Indian Monsoon Gyres Province (MRGID:21471)	TARA_B100000267	2010-04-11T03:54	-4189	30.520165	35.04006	21.576255	147.5916	0	5		187.75135	0	0.001377608	0.015451062	0.007958741	0.004041403					0	0		0.0003	0		0.0045	0.1225	0.044	2.2655	25	64	65	34	815	70	0.273402	0.766756					0.0004	0.00115	0	0	0.0031	0	0.0569	0	2.815	71.534	0	spring	early	0.00089	0.023736	0
25	TARA_B100000261	TARA_046	SRF	[0.22-3µm]	-0.6625	73.161	TARA_046_SRF_0.22-1.6	TARA_046	ERS489269		SAMEA2620368	SEQ-(10L-or-15min)_W0.22-1.6	SRF	[SRF] surface water layer (ENVO:00010504)	0.22	1.6	Trades Biome	[IO] Indian Ocean (MRGID:1904)	[MONS] Indian Monsoon Gyres Province (MRGID:21471)	TARA_B100000261	2010-04-15T02:01	-23	30.12475	35.1113	21.76745	1.3428	0.048	5	34.954927	185.755	0.436989	0.001279924	0.016438504	0.009120126	0.00839148		236.284	50.647922515869	0.00024318936630152	0.00185	0.00815	10.576483	0.0026	0.00675	8.016174	0.0045	0.102	0.047	1.947	23	64	57	13	64	50	0.280692	0.747565					0.0049	0.00285	0.00815	0.00725	0.0119	0	0.0892	0	-0.6625	73.161	0	autumn	early	0.04222	0.059455	3.5
26	TARA_B100000248	TARA_047	SRF	[0.22-3µm]	-2.0465	72.1568	TARA_047_SRF_0.22-1.6	TARA_047	ERS489296		SAMEA2620389	SEQ-(10L-or-15min)_W0.22-1.6	SRF	[SRF] surface water layer (ENVO:00010504)	0.22	1.6	Trades Biome	[IO] Indian Ocean (MRGID:1904)	[MONS] Indian Monsoon Gyres Province (MRGID:21471)	TARA_B100000248	2010-04-16T04:42	-4563	30.15995	34.91195	21.60515	187.1022	0	5	33.558164	187.3595	0	0.001313573	0.016535839	0.008396721	0.008090431			34.368391036987	0.00016581023373874	0	0.0007		0.0007	0		0.001	0.093	0.018	2.284	23	60	57	30	737	112	0.21189	0.718092					0	0	0.0007	0	0	0	0.0729	0	-2.0465	72.1568	0	autumn	early	0.013305	0.045411	0
27	TARA_B100000236	TARA_049	SRF	[0.22-3µm]	-16.8084	59.5043	TARA_049_SRF_0.22-1.6	TARA_049	ERS489339		SAMEA2620426	SEQ-(10L-or-15min)_W0.22-1.6	SRF	[SRF] surface water layer (ENVO:00010504)	0.22	1.6	Trades Biome	[IO] Indian Ocean (MRGID:1904)	[ISSG] Indian South Subtropical Gyre Province (MRGID:21472)	TARA_B100000236	2010-04-23T10:10	-21	28.2729	34.4863	21.9195	120.5291		5		192.5495	0	0.001104251	0.011667649	0.004893923	0.006941748			102.34836959839	0.0023007483105175	0	0.0072		0.0048	0		0.006	0.096	0.062	2.436		6	7	4	3	3	0.342737	0.737307					0.0069	0	0.0072	0.0013	0.0197	0	0.088	0	-16.8084	59.5043	0	autumn	middle	0.21197	0.135263	1.694444
28	TARA_B100000178	TARA_050	SRF	[0.22-3µm]	-21.4966	56.9011	TARA_050_SRF_0.22-1.6	TARA_050	ERS489362		SAMEA2620442	SEQ-(10L-or-15min)_W0.22-1.6	SRF	[SRF] surface water layer (ENVO:00010504)	0.22	1.6	Trades Biome	[IO] Indian Ocean (MRGID:1904)	[ISSG] Indian South Subtropical Gyre Province (MRGID:21472)	TARA_B100000178	2010-05-09T05:30	-4161	27.5493	34.949725	22.503855	114.2076	0.00288	5	23.187098	194.3573	0.583605	0.00099548	0.011776057	0.00697108	0.003836557			33.54023361206	0.00017825292889029	0	0.0013	9.957814	0.0014	0	8.062792	0.002	0.076	0.026	2.256	72	114	82	571	972	971	0.334403	0.690559					0.0012	0	0.0013	0	0.0042	0	0.0583	0	-21.4966	56.9011	0	autumn	middle	-0.065955	0.075282	9.833333
29	TARA_B100000194	TARA_051	SRF	[0.22-3µm]	-21.5043	54.3563	TARA_051_SRF_0.22-1.6	TARA_051	ERS489440		SAMEA2620492	SEQ-(10L-or-15min)_W0.22-1.6	SRF	[SRF] surface water layer (ENVO:00010504)	0.22	1.6	Trades Biome	[IO] Indian Ocean (MRGID:1904)	[ISSG] Indian South Subtropical Gyre Province (MRGID:21472)	TARA_B100000194	2010-05-11T03:42	-4277	27.488383	34.939958	22.516108	102.9889	0	5	25.554368	194.433917	0.532471	0.00097728	0.011299031	0.008024957	0.004059467			33.095125198364	0.00011400301082176	0	0.0011		0.0011	0		0	0.07325	0.138	1.8665	30	81	79	597	1001	1040	0.364876	0.69329					0.0012	0.0014	0.0011	0	0.0042	0	0.0573	0	-21.5043	54.3563	0	autumn	middle	0.125682	0.036539	0
30	TARA_B100000215	TARA_052	DCM	[0.22-3µm]	-16.9534	53.9601	TARA_052_DCM_0.22-1.6	TARA_052	ERS489586		SAMEA2620571	SEQ-(10L-or-15min)_W0.22-1.6	DCM	[DCM] deep chlorophyll maximum layer (ENVO:01000326)	0.22	1.6	Trades Biome	[IO] Indian Ocean (MRGID:1904)	[ISSG] Indian South Subtropical Gyre Province (MRGID:21472)	TARA_B100000215	2010-05-17T11:42	-4657	25.212642	34.896833	23.203642	412.5201	0.149	75	1.076232	194.81775	0.532471	0.001048266	0.01050256	0.005936726	0.006946565	0.79292	172.66325	39.100612640381	0.00013962368757348	0.0057	0.0091		0.0296	0		0.032	0.159	0.4675	2.824	63	68	73	448	170	166	0.306166	0.555372					0.0261	0.0064	0.0091	0	0.0645	0	0.0504	0	-16.9534	53.9601	0	autumn	middle	0.274476	0.074677	2.138889
